IDCLIENTE,CLIENTE,USUARIOS,EJECUTIVO,TIPO DE DESCUENTO,%DESCUENTO,DIRECCION,ZONA,TIPO DE CLIENTE,GPS CLIENTE,TELEFONO,CORREO,REGFENTE,REDES SOCIALES,ASISTENTE DE FARMACIAS,ENCARGADO DE FARMACIA,priodidad,MES DE ACTIVACION,UNION,ESTATUS,CODIGO DE BRICK,DESCRIPCION IMS 
FARMACIA LA ECONOMICA SAN ELÃAS,FARMACIA LA ECONOMICA SAN ELÃAS,hserrano@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,8,,802,
HOSPIFARMA PSIQUIATRICO,HOSPIFARMA PSIQUIATRICO,hserrano@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,10,,8001,
HOSPIFARMA HOSPIFARMA,HOSPIFARMA HOSPIFARMA,hserrano@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,6,,8001,
CASTILLITO,CASTILLITO,hserrano@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,10,,803,
FARMACARACAS,FARMACARACAS,hserrano@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,9,,8016,
FARMAECONOMIA SUCURSAL,FARMAECONOMIA SUCURSAL,hserrano@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,,8016,
LA PILDORA,LA PILDORA,hserrano@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,10,,8024,
FARMAHUMANA,FARMAHUMANA,hserrano@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,8,,8024,
BOTIQUERIA LA ZABALETA,BOTIQUERIA LA ZABALETA,hserrano@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,9,,801,
LOS PROCERES,LOS PROCERES,hserrano@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,10,,8001,
701,701,hserrano@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,9,,8001,
FARMA ROMAR,FARMA ROMAR,hserrano@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,9,,8001,
FARMALLOVIZNA,FARMALLOVIZNA,hserrano@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,9,,8016,
"FARMAPASEO C,A","FARMAPASEO C,A",hserrano@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,7,,8016,
FARMAREAL PRINCIPAL,FARMAREAL PRINCIPAL,hserrano@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,8,,8026,
FARMA AHORRO LA ECONOMICA SUC 1,FARMA AHORRO LA ECONOMICA SUC 1,hserrano@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,10,,8024,
FARMACIA MAXICONSUMO,FARMACIA MAXICONSUMO,hserrano@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,,8024,
FARMACIA DLIFE,FARMACIA DLIFE,hserrano@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,7,,8024,
FARMACIA RORAIMA,FARMACIA RORAIMA,hserrano@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,,8016,
FARMACIA MAXIMA SALUD 1,FARMACIA MAXIMA SALUD 1,hserrano@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,10,,8024,
FARMATLANTICO II,FARMATLANTICO II,hserrano@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,,8001,
FARMACIA FARMA PZO,FARMACIA FARMA PZO,hserrano@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,7,,803,
FARMA PIAR 24,FARMA PIAR 24,hserrano@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,,8024,
FARMACACHAMAY,FARMACACHAMAY,hserrano@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,,8016,
AMAZONIA INDEPENDIENTE,AMAZONIA INDEPENDIENTE,hserrano@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,10,,802,
FARMATLANTICO PRINCIPAL,FARMATLANTICO PRINCIPAL,hserrano@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,,802,
FARMACIA SAN JUAN LEONARDI,FARMACIA SAN JUAN LEONARDI,hserrano@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,10,,8024,
FARMACITY CARONI,FARMACITY CARONI,hserrano@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,,8024,
FARMACIA HOSPISALUD SUC CENTRO,FARMACIA HOSPISALUD SUC CENTRO,hserrano@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,,6034,
FARMACIA HOSPISALUD SUC HOSPITAL,FARMACIA HOSPISALUD SUC HOSPITAL,hserrano@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,,6034,
FARMACIA HOSPISALUD SUC GUANIPA,FARMACIA HOSPISALUD SUC GUANIPA,hserrano@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,,6034,
FARMAMAR,FARMAMAR,hserrano@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,7,,6034,
FARMACIA FARMACAPSULA - SEDE VIP,FARMACIA FARMACAPSULA - SEDE VIP,hserrano@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,,6034,
FARMACIA FARMACAPSULA - SEDE PRINCIPAL,FARMACIA FARMACAPSULA - SEDE PRINCIPAL,hserrano@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,8,,6034,
FARMACIA MULTIAHORRO PLC - AV 5 DE JULIO CALLE BUENOS AIRES,FARMACIA MULTIAHORRO PLC - AV 5 DE JULIO CALLE BUENOS AIRES,hserrano@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,6,,6034,
FARMACIA MULTIAHORRO TOTAL - 3ERA CARRERA SUR ENTRE CALLE 15 SUR,FARMACIA MULTIAHORRO TOTAL - 3ERA CARRERA SUR ENTRE CALLE 15 SUR,hserrano@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,5,,6034,
FARMACIA PHARMAZONE LUCHADOR - AV. ESPAâ•¤A LOCAL NRO 08 SECTOR EL LU,FARMACIA PHARMAZONE LUCHADOR - AV. ESPAâ•¤A LOCAL NRO 08 SECTOR EL LU,hserrano@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,7,,6034,
37 DON FRANCISCO DE DIOS iNDEPENDIEN,37 DON FRANCISCO DE DIOS iNDEPENDIEN,hserrano@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,9,,8001,
FARMACIA MAXIMA SALUD 1,FARMACIA MAXIMA SALUD 1,hserrano@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,10,,8024,
FARMATEPUY,FARMATEPUY,hserrano@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,,8016,
Farmatodo Piedra Luna,Farmatodo Piedra Luna,hserrano@distrilabve.com,,VOLUMEN,,,,FARMATODO,,,,,,,,,,1,,801,
Farmatodo Paseo Caroni,Farmatodo Paseo Caroni,hserrano@distrilabve.com,,VOLUMEN,,,,FARMATODO,,,,,,,,,,1,,803,
Farmatodo Oro,Farmatodo Oro,hserrano@distrilabve.com,,VOLUMEN,,,,FARMATODO,,,,,,,,,,3,,801,
Farmatodo aluminio Orinokia,Farmatodo aluminio Orinokia,hserrano@distrilabve.com,,VOLUMEN,,,,FARMATODO,,,,,,,,,,5,,802,
farmacia Caracas,farmacia Caracas,hserrano@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,9,DATOS DEL CLIENTE INCOMPLETO,8001,
Multiahorro c.a,Multiahorro c.a,hserrano@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,4,,6034,
Farmacia Puerto Ordaz,Farmacia Puerto Ordaz,hserrano@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,10,,803,
Botiqueria Sierra Parima,Botiqueria Sierra Parima,hserrano@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,,8016,
FARMADETODO,FARMADETODO,vjimenez@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,7,,,
FARMACIA LA REBAJA,FARMACIA LA REBAJA,vjimenez@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,7,,,
FARMANACO,FARMANACO,vjimenez@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,7,,,
FARMACIA SAN SALVADOR,FARMACIA SAN SALVADOR,vjimenez@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,7,,,
FARMALINA,FARMALINA,vjimenez@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,8,,,
FARMACIA LUPITA PHARMA,FARMACIA LUPITA PHARMA,vjimenez@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,7,,,
FARMACIA MULTIAHORRO PLC - AV 5 DE JULIO CALLE BUENOS AIRES,FARMACIA MULTIAHORRO PLC - AV 5 DE JULIO CALLE BUENOS AIRES,vjimenez@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,5,,,
FARMAJUSTO 2021 - AV PRINCIPAL GULF LOCAL NRO 15-A SEC,FARMAJUSTO 2021 - AV PRINCIPAL GULF LOCAL NRO 15-A SEC,vjimenez@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,7,,,
FARMACIA FARMA 24/7 PLUS - AVENIDA PEDRO MARIA FREITES CASA CAS,FARMACIA FARMA 24/7 PLUS - AVENIDA PEDRO MARIA FREITES CASA CAS,vjimenez@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,6,,,
FARMACIA MULTIAHORRO BARCELONA - AV NICOLAS ROLANDO CON AV 5 DE JULIO,FARMACIA MULTIAHORRO BARCELONA - AV NICOLAS ROLANDO CON AV 5 DE JULIO,vjimenez@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,9,,,
FARMACIA SANA SANA - CLL 1 LC 1 BOYACA 2 SECT BARCELONA,FARMACIA SANA SANA - CLL 1 LC 1 BOYACA 2 SECT BARCELONA,vjimenez@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,5,,,
FARMACIA SANA SANA V.C - AV COSTANERA LOCAL NRO L-02 BARRIO O,FARMACIA SANA SANA V.C - AV COSTANERA LOCAL NRO L-02 BARRIO O,vjimenez@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,10,,,
FARMAPIRITU,FARMAPIRITU,vjimenez@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,8,,,
ORTOPEDICA - AV LUIS RAZETTI FTE HOSPITAL,ORTOPEDICA - AV LUIS RAZETTI FTE HOSPITAL,vjimenez@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,7,,,
SAN MATEO - AV CARACAS Nâ–‘ 66-64,SAN MATEO - AV CARACAS Nâ–‘ 66-64,vjimenez@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,9,,,
SANA SANA - AV TRONCONAL VEREDA 12 EL CARMEN,SANA SANA - AV TRONCONAL VEREDA 12 EL CARMEN,vjimenez@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,8,,,
TODOHOGAR - AV 5 DE JULIO CASA 6-29,TODOHOGAR - AV 5 DE JULIO CASA 6-29,vjimenez@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,7,,,
"FARMA SHOP, C.A.","FARMA SHOP, C.A.",rvina@distrilabve.com,Rafael Viña,VOLUMEN,,AV 5 DE JULIO EDIF SAN ANTONIO,Barcelona Edo. Anzoátegui,,,,,,,,,,,,EN RUTA,,
FARMACIA FARMAVIDA 2022 - CALLE SUCRE CASA NRO.6-74,FARMACIA FARMAVIDA 2022 - CALLE SUCRE CASA NRO.6-74,vjimenez@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,7,,,
FARMACIA HIPER AHORROS - AV JOSE ANTONIO ANZOATEGUI CC GAROFA,FARMACIA HIPER AHORROS - AV JOSE ANTONIO ANZOATEGUI CC GAROFA,vjimenez@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,10,,,
MULTI-FARMACIA SAMIR - CALLE  MONAGAS ENTRE CALLE SUCRE Y C,MULTI-FARMACIA SAMIR - CALLE  MONAGAS ENTRE CALLE SUCRE Y C,vjimenez@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,6,,,
ORINOCO - CLLE ORINOCO Nâ–‘ 53 CON PROLONG AV,ORINOCO - CLLE ORINOCO Nâ–‘ 53 CON PROLONG AV,vjimenez@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,9,,,
FARMACIA FARMACHUCHO - AV MIRANDA EDIF EDIF SAN JORGE PISO,FARMACIA FARMACHUCHO - AV MIRANDA EDIF EDIF SAN JORGE PISO,vjimenez@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,7,,,
FARMACIA HIPER AHORROS - AV PPAL DE LECHERIAS CON CALLE ANZOA,FARMACIA HIPER AHORROS - AV PPAL DE LECHERIAS CON CALLE ANZOA,vjimenez@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,9,,,
FARMACIA HIPER AHORROS - CALLE BOLIVAR NRO 110 SECTOR CENTRO,FARMACIA HIPER AHORROS - CALLE BOLIVAR NRO 110 SECTOR CENTRO,vjimenez@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,10,,,
JOCARI - CLLE LUIS PINEDA,JOCARI - CLLE LUIS PINEDA,vjimenez@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,8,,,
INVERSIONES SUPERFARMA - CALLE ANZOATEGUI SECTOR CASCO CENTRA,INVERSIONES SUPERFARMA - CALLE ANZOATEGUI SECTOR CASCO CENTRA,vjimenez@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,5,,,
DIVINO NIâ•¤O JESUS - AV ESTADIUM CTRO CCIAL INDIBANA,DIVINO NIâ•¤O JESUS - AV ESTADIUM CTRO CCIAL INDIBANA,vjimenez@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,9,,,
